"GWRr2","GWRbx","GWRby","GWR_xSE","GWR_ySE","DMCE","DMCN","Year","Year.1","PlotID","DMCE.1","DMCN.1","long","lat"
0.305295014887421,4.7749431680131e-05,-0.000104273616958404,3.67703842058729e-05,2.26027657017868e-05,692663,4323834,1991,1991,1,692663,4323834,-96.7738314729768,39.0423455565356
0.610378825190849,-6.18630185213093e-05,-7.34542817821135e-05,1.52539225237558e-05,1.96082477132099e-05,696573,4333142,1991,1991,6,696573,4333142,-96.725994726085,39.1252851002369
0.734443304848806,1.36647464082363e-05,-0.000132391952660196,9.34406292285874e-06,1.17335311043813e-05,694516,4333097,1991,1991,8,694516,4333097,-96.7497862850841,39.125341589609
0.0322283966659033,1.9214781579702e-05,-2.10251996687728e-05,1.43749168223724e-05,1.98747316168247e-05,694210,4330770,1991,1991,11,694210,4330770,-96.7539892314328,39.1044569932858
0.783326378686435,0.000131718758091254,-2.63411859380424e-05,9.34111052060712e-06,1.13631476313254e-05,691530,4331040,1991,1991,15,691530,4331040,-96.7848851434145,39.1074810406372
0.733786273898905,1.23955599464708e-05,0.000247957623662626,4.15869221756072e-05,3.24964998954335e-05,688996,4327912,1991,1991,17,688996,4327912,-96.8150415389354,39.0798675592534
0.884207590230627,-0.000221800938055951,-2.28108425974928e-05,1.08866194934025e-05,1.7952520286663e-05,689234,4327077,1991,1991,18,689234,4327077,-96.8125241943314,39.0722970930274
0.817746571673043,0.000179431507815558,-0.000373054297953877,5.17377701369073e-05,3.21088526392149e-05,688083,4323819,1991,1991,19,688083,4323819,-96.826720322908,39.043208334356
0.985078968503652,7.66213932578092e-05,-0.000281210955950492,3.41060695709192e-05,9.14888394763803e-06,688193,4324563,1991,1991,20,688193,4324563,-96.8252446189555,39.0498842052576
0.737403442563469,-0.00026057699829843,-0.000140600096714708,4.45824358570545e-05,1.76397598353903e-05,687698,4325356,1991,1991,21,687698,4325356,-96.8307424474022,39.0571315113221
0.822005031598179,-0.000240814473300882,-0.000190200218851497,3.22013911445588e-05,1.67930803180629e-05,685662,4329144,1991,1991,23,685662,4329144,-96.8532236079404,39.0916772992291
0.546208341902556,-0.000100699605303985,-9.16780690074604e-05,1.28384376997016e-05,1.55908090692042e-05,686450,4328200,1991,1991,24,686450,4328200,-96.8443769887039,39.0830086591276
0.14266889902431,3.67284374863791e-05,-7.00916455046077e-05,4.34424595696506e-05,2.33219341404046e-05,687270,4331703,1991,1991,26,687270,4331703,-96.8339375389078,39.1143766998527
0.527188226077276,3.810993198342e-06,-0.000111089779206074,2.58971972505329e-05,1.44261544615689e-05,687290,4331306,1991,1991,28,687290,4331306,-96.8338158613342,39.1107975255525
0.496708176042016,-2.461090952532e-05,4.67957537042335e-05,1.26027380800047e-05,1.19585325264654e-05,685438,4336502,1991,1991,30,685438,4336502,-96.8538013695076,39.1579825114145
0.101460986420734,2.17072775311085e-05,-2.26553181563908e-05,1.34493043752071e-05,1.50355769229651e-05,687025,4334834,1991,1991,31,687025,4334834,-96.835906410605,39.1426230797028
0.854608977818932,0.00021030741589143,9.53364493093357e-06,1.32431866968461e-05,2.30485999242434e-05,689516,4336900,1991,1991,32,689516,4336900,-96.8065245565643,39.1606877660181
0.368246909244903,5.02363583778732e-05,2.9971905232511e-05,1.01981456023633e-05,1.60682911638002e-05,687816,4336293,1991,1991,34,687816,4336293,-96.8263554948121,39.1555905666155
0.94190090160459,0.000141277907800326,-0.000106616957481522,7.08073772553473e-06,8.87951682691066e-06,688851,4335878,1991,1991,36,688851,4335878,-96.8145009345505,39.151629704775
0.976420099425543,0.000233031735024051,-0.000122137001534222,6.08244371393857e-06,1.63431218745483e-05,689390,4335491,1991,1991,38,689390,4335491,-96.8083756903961,39.148027845931
0.824131941788086,0.000134767648860695,-0.000108020552182864,1.42230006008142e-05,9.01160197364846e-06,690319,4335569,1991,1991,39,690319,4335569,-96.7976107861848,39.148527589142
0.844882131906262,-0.00019927290344865,0.000169003830201491,2.44722128231629e-05,1.25335581985331e-05,699110,4335777,1991,1991,41,699110,4335777,-96.6958945499527,39.1484341471222
0.522337540691944,-0.00015725485667256,0.000148606438115766,3.28207745314003e-05,1.96822545119968e-05,699887,4335244,1991,1991,43,699887,4335244,-96.6870670692525,39.1434570771098
0.892260560678594,-0.000299457441335493,0.000361881267215753,7.36404554765356e-05,2.71346700560986e-05,689763,4327822,1991,1991,46,689763,4327822,-96.8062055135252,39.0788906906791
0.189270639873192,-2.08973492134037e-05,1.55401630155446e-05,7.55126662994973e-06,1.14630818123121e-05,685745,4337285,1991,1991,52,685745,4337285,-96.8500358827646,39.1649677559199
0.38257065909076,2.63420567738999e-05,-2.80059925455055e-05,6.24717376445879e-06,5.30511324613961e-06,690343,4342754,1991,1991,55,690343,4342754,-96.7953123794495,39.2132189310802
0.572570242639354,7.08583292766404e-05,3.64515661852422e-05,1.15891128997336e-05,7.52956140624892e-06,688724,4340392,1991,1991,57,688724,4340392,-96.8147113909806,39.192303676485
0.710833407166694,-0.000594651153007053,-3.52654915533202e-05,6.79532841906757e-05,2.79809435721119e-05,699919,4338401,1991,1991,59,699919,4338401,-96.6857655612432,39.1718745641497
0.142122619654467,0.000217357989177313,-4.15385881414349e-05,7.49533686624966e-05,2.8118014322349e-05,698880,4338256,1991,1991,62,698880,4338256,-96.6978263765876,39.1708071949147
0.183340506076121,-2.40958366184816e-05,-2.97171563065756e-05,1.07214968916983e-05,8.90574546467233e-06,683657,4340892,1991,1991,68,683657,4340892,-96.8732095351668,39.1978915582774
0.689948891847785,7.53822114168892e-05,-0.000234727981697444,2.09329853415456e-05,2.78958682311632e-05,679223,4342383,1991,1991,74,679223,4342383,-96.9241290462506,39.212244001592
0.887040706463322,-9.83529598685789e-05,-9.48752009673946e-05,4.78223447623508e-06,1.47614013814037e-05,678602,4341954,1991,1991,75,678602,4341954,-96.9314308494289,39.208508717658
0.647702128846953,-0.000350479952062313,-0.000139967339342407,3.54568969197971e-05,2.6712779751945e-05,699491,4341143,1991,1991,76,699491,4341143,-96.6899078650489,39.196661065682
0.860186582348858,-0.000153630845430061,-0.000191317786400902,3.83494236698602e-05,1.04206655359696e-05,699856,4340373,1991,1991,77,699856,4340373,-96.685911936596,39.1896443626535
0.252201410679535,-2.08327790479515e-05,-6.85713870727794e-05,1.08855946402216e-05,1.61924052675642e-05,697260,4342951,1991,1991,78,697260,4342951,-96.7151957653304,39.2134493057588
0.502332747996422,-0.000243088077262074,5.35328993080158e-05,3.40957261133526e-05,1.41888485718218e-05,676312,4346848,1991,1991,80,676312,4346848,-96.9566595248404,39.2530482899512
0.359384889643271,-0.0001230144746011,3.19464829195954e-05,2.32206814834456e-05,1.46629637714471e-05,678273,4347586,1991,1991,82,678273,4347586,-96.9337514187268,39.2592931692754
0.942321161497595,-9.1575957159933e-05,-0.000130572072089708,1.48073752675483e-05,1.9200134021471e-05,676886,4344205,1991,1991,84,676886,4344205,-96.9507041353068,39.2291306532017
